m [mol],V [mL],c [mol/L],pOH,pH
0.004,20.0,0.0002,3.6989700043360187,10.301029995663981
0.004,30.0,0.00013333333333333334,3.8750612633917,10.1249387366083
0.004,40.0,0.0001,4.0,10.0
0.004,50.0,8e-05,4.096910013008056,9.903089986991944
0.004,60.0,6.666666666666667e-05,4.176091259055681,9.823908740944319
0.004,70.0,5.714285714285714e-05,4.243038048686294,9.756961951313706
0.004,80.0,5e-05,4.301029995663981,9.698970004336019
0.004,90.0,4.4444444444444447e-05,4.352182518111363,9.647817481888637
0.004,100.0,4e-05,4.3979400086720375,9.602059991327963
0.005,10.0,0.0005,3.3010299956639813,10.698970004336019
0.005,20.0,0.00025,3.6020599913279625,10.397940008672037
0.005,30.0,0.00016666666666666666,3.778151250383644,10.221848749616356
0.005,40.0,0.000125,3.9030899869919438,10.096910013008056
0.005,50.0,0.0001,4.0,10.0
0.005,60.0,8.333333333333333e-05,4.079181246047625,9.920818753952375
0.005,70.0,7.142857142857143e-05,4.146128035678238,9.853871964321762
0.005,80.0,6.25e-05,4.204119982655925,9.795880017344075
0.005,90.0,5.555555555555556e-05,4.2552725051033065,9.744727494896694
0.005,100.0,5e-05,4.301029995663981,9.698970004336019
0.006,10.0,0.0006000000000000001,3.221848749616356,10.778151250383644
0.006,20.0,0.00030000000000000003,3.5228787452803374,10.477121254719663
0.006,30.0,0.0002,3.6989700043360187,10.301029995663981
0.006,40.0,0.00015000000000000001,3.8239087409443187,10.176091259055681
0.006,50.0,0.00012,3.9208187539523753,10.079181246047625
0.006,60.0,0.0001,4.0,10.0
0.006,70.0,8.571428571428571e-05,4.066946789630613,9.933053210369387
0.006,80.0,7.500000000000001e-05,4.1249387366083,9.8750612633917
0.006,90.0,6.666666666666667e-05,4.176091259055681,9.823908740944319
0.006,100.0,6e-05,4.221848749616356,9.778151250383644
0.007,10.0,0.0007,3.154901959985743,10.845098040014257
0.007,20.0,0.00035,3.4559319556497243,10.544068044350276
0.007,30.0,0.00023333333333333333,3.6320232147054057,10.367976785294594
0.007,40.0,0.000175,3.7569619513137056,10.243038048686294
0.007,50.0,0.00014000000000000001,3.853871964321762,10.146128035678238
0.007,60.0,0.00011666666666666667,3.933053210369387,10.066946789630613
0.007,70.0,0.0001,4.0,10.0
0.007,80.0,8.75e-05,4.057991946977687,9.942008053022313
0.007,90.0,7.777777777777778e-05,4.109144469425068,9.890855530574932
0.007,100.0,7.000000000000001e-05,4.154901959985743,9.845098040014257
0.008,10.0,0.0008,3.0969100130080562,10.903089986991944
0.008,20.0,0.0004,3.3979400086720375,10.602059991327963
0.008,30.0,0.0002666666666666667,3.574031267727719,10.425968732272281
0.008,40.0,0.0002,3.6989700043360187,10.301029995663981
0.008,50.0,0.00016,3.795880017344075,10.204119982655925
0.008,60.0,0.00013333333333333334,3.8750612633917,10.1249387366083
0.008,70.0,0.00011428571428571428,3.942008053022313,10.057991946977687
0.008,80.0,0.0001,4.0,10.0
0.008,90.0,8.888888888888889e-05,4.051152522447381,9.948847477552619
0.008,100.0,8e-05,4.096910013008056,9.903089986991944
0.009000000000000001,10.0,0.0009000000000000001,3.0457574905606752,10.954242509439325
0.009000000000000001,20.0,0.00045000000000000004,3.3467874862246565,10.653212513775344
0.009000000000000001,30.0,0.00030000000000000003,3.5228787452803374,10.477121254719663
0.009000000000000001,40.0,0.00022500000000000002,3.6478174818886373,10.352182518111363
0.009000000000000001,50.0,0.00018,3.744727494896694,10.255272505103306
0.009000000000000001,60.0,0.00015000000000000001,3.8239087409443187,10.176091259055681
0.009000000000000001,70.0,0.00012857142857142858,3.8908555305749317,10.109144469425068
0.009000000000000001,80.0,0.00011250000000000001,3.9488474775526186,10.051152522447381
0.009000000000000001,90.0,0.00010000000000000002,4.0,10.0
0.009000000000000001,100.0,9e-05,4.045757490560675,9.954242509439325
0.01,10.0,0.001,3.0,11.0
0.01,20.0,0.0005,3.3010299956639813,10.698970004336019
0.01,30.0,0.0003333333333333333,3.4771212547196626,10.522878745280337
0.01,40.0,0.00025,3.6020599913279625,10.397940008672037
0.01,50.0,0.0002,3.6989700043360187,10.301029995663981
0.01,60.0,0.00016666666666666666,3.778151250383644,10.221848749616356
0.01,70.0,0.00014285714285714287,3.845098040014257,10.154901959985743
0.01,80.0,0.000125,3.9030899869919438,10.096910013008056
0.01,90.0,0.00011111111111111112,3.9542425094393248,10.045757490560675
0.01,100.0,0.0001,4.0,10.0
